"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"178",118,"udp","sqlserv","SQL Services",,,,,6.71269758127434e-12
"179",119,"tcp","nntp","Network News Transfer Protocol",,2017-02-03,"[RFC3977]",,2.44583685347226e-07
"180",119,"udp","nntp","Network News Transfer Protocol",,2017-02-03,"[RFC3977]",,6.55142911499985e-10
"181",120,"tcp","cfdptkt","CFDPTKT",,,,,2.2267163947428e-08
"182",120,"udp","cfdptkt","CFDPTKT",,,,,1.44526016168293e-08
"183",121,"tcp","erpc","Encore Expedited Remote Pro.Call",,,,,2.41283821450866e-08
"184",121,"udp","erpc","Encore Expedited Remote Pro.Call",,,,,8.07570263894372e-10
"185",122,"tcp","smakynet","SMAKYNET",,,,,2.68365463083054e-08
"186",122,"udp","smakynet","SMAKYNET",,,,,8.48092035878878e-11
"187",123,"tcp","ntp","Network Time Protocol",,,"[RFC5905]",,3.01583492650551e-08
"188",123,"udp","ntp","Network Time Protocol",,,"[RFC5905]",,1.96469197500909e-10
"189",124,"tcp","ansatrader","ANSA REX Trader",,,,,2.15664238096748e-08
"190",124,"udp","ansatrader","ANSA REX Trader",,,,,3.94084465320591e-10
"191",125,"tcp","locus-map","Locus PC-Interface Net Map Ser",,,,,2.61566810227866e-08
"192",125,"udp","locus-map","Locus PC-Interface Net Map Ser",,,,,8.39169059825747e-10
"193",126,"tcp","nxedit","NXEdit",,,,"Port 126 Previously assigned to application below
unitary         126/tcp    Unisys Unitary Login
unitary         126/udp    Unisys Unitary Login
<feil&kronos.nisd.cam.unisys.com>
Port 126 Previously assigned to application above",2.65657462644167e-08
"194",126,"udp","nxedit","NXEdit",,,,"Port 126 Previously assigned to application below
unitary         126/tcp    Unisys Unitary Login
unitary         126/udp    Unisys Unitary Login
<feil&kronos.nisd.cam.unisys.com>
Port 126 Previously assigned to application above",3.09766434726429e-10
"195",127,"tcp","locus-con","Locus PC-Interface Conn Server",,,,,2.54570869553522e-08
"196",127,"udp","locus-con","Locus PC-Interface Conn Server",,,,,1.04947296331747e-10
"197",128,"tcp","gss-xlicen","GSS X License Verification",,,,,2.09986278288972e-08
"198",128,"udp","gss-xlicen","GSS X License Verification",,,,,0
"199",129,"tcp","pwdgen","Password Generator Protocol",,,,,2.67836633493114e-08
"200",129,"udp","pwdgen","Password Generator Protocol",,,,,1.43987363118478e-08
"201",130,"tcp","cisco-fna","cisco FNATIVE",,,,,2.32198758309762e-08
"202",130,"udp","cisco-fna","cisco FNATIVE",,,,,6.34431783596599e-11
"203",131,"tcp","cisco-tna","cisco TNATIVE",,,,,2.40930176895364e-08
"204",131,"udp","cisco-tna","cisco TNATIVE",,,,,3.0264442631703e-10
"205",132,"tcp","cisco-sys","cisco SYSMAINT",,,,,2.20449900299208e-08
"206",132,"udp","cisco-sys","cisco SYSMAINT",,,,,3.22700656895237e-10
"207",133,"tcp","statsrv","Statistics Service",,,,,2.29612732497656e-08
"208",133,"udp","statsrv","Statistics Service",,,,,1.32420239115613e-09
"209",134,"tcp","ingres-net","INGRES-NET Service",,,,,2.55695655709214e-08
"210",134,"udp","ingres-net","INGRES-NET Service",,,,,3.40219160339089e-10
"211",135,"tcp","epmap","DCE endpoint resolution",,,,,1.57482996019148e-07
"212",135,"udp","epmap","DCE endpoint resolution",,,,,3.11403678038972e-10
"213",136,"tcp","profile","PROFILE Naming System",,,,,2.3007525373344e-08
"214",136,"udp","profile","PROFILE Naming System",,,,,1.5226362806333e-11
"215",137,"tcp","netbios-ns","NETBIOS Name Service",,,,,1.85223791808951e-07
"216",137,"udp","netbios-ns","NETBIOS Name Service",,,,,6.71269758128105e-12
"217",138,"tcp","netbios-dgm","NETBIOS Datagram Service",,,,,1.15070535457301e-07
"218",138,"udp","netbios-dgm","NETBIOS Datagram Service",,,,,3.76565961876741e-12
"219",139,"tcp","netbios-ssn","NETBIOS Session Service",,,,,1.50446942883646e-07
"220",139,"udp","netbios-ssn","NETBIOS Session Service",,,,,1.70273304500267e-11
"221",140,"tcp","emfis-data","EMFIS Data Service",,,,,1.14598845658968e-09
"222",140,"udp","emfis-data","EMFIS Data Service",,,,,5.22280616689913e-11
"223",141,"tcp","emfis-cntl","EMFIS Control Service",,,,,9.37485520741836e-10
"224",141,"udp","emfis-cntl","EMFIS Control Service",,,,,3.30231976132777e-10
"225",142,"tcp","bl-idm","Britton-Lee IDM",,,,,2.97683579080127e-09
"226",142,"udp","bl-idm","Britton-Lee IDM",,,,,2.27249371776049e-10
"227",143,"tcp","imap","Internet Message Access Protocol",,2017-06-05,"[RFC3501]",,1.43771558896078e-05
"228",143,"udp","imap","Internet Message Access Protocol",,2017-06-05,"[RFC3501]",,6.41799378502967e-11
"229",144,"tcp","uma","Universal Management Architecture",,,,,4.107647001884e-08
"230",144,"udp","uma","Universal Management Architecture",,,,,1.21386856432624e-08
"231",145,"tcp","uaac","UAAC Protocol",,,,,5.25632872372275e-08
"232",145,"udp","uaac","UAAC Protocol",,,,,4.45166456670823e-10
"233",146,"tcp","iso-tp0","ISO-IP0",,,,,5.98412430721516e-10
"234",146,"udp","iso-tp0","ISO-IP0",,,,,3.65268983020439e-10
"235",147,"tcp","iso-ip","ISO-IP",,,,,1.21237867291186e-09
"236",147,"udp","iso-ip","ISO-IP",,,,,7.43963361203438e-10
"237",148,"tcp","jargon","Jargon",,,,,6.41062619012342e-10
"238",148,"udp","jargon","Jargon",,,,,9.26679714879296e-11
"239",149,"tcp","aed-512","AED 512 Emulation Service",,,,,6.93699991509458e-10
"240",149,"udp","aed-512","AED 512 Emulation Service",,,,,8.0527812325685e-10
"241",150,"tcp","sql-net","SQL-NET",,,,,7.28736998397115e-10
"242",150,"udp","sql-net","SQL-NET",,,,,5.68573671351065e-09
"243",151,"tcp","hems","HEMS",,,,,5.56073318660073e-08
"244",151,"udp","hems","HEMS",,,,,2.7407453051378e-10
"245",152,"tcp","bftp","Background File Transfer Program",,,,,2.86992380249453e-09
"246",152,"udp","bftp","Background File Transfer Program",,,,,3.63468015376664e-11
"247",153,"tcp","sgmp","SGMP",,,,,5.93336976452746e-10
"248",153,"udp","sgmp","SGMP",,,,,9.16528806341739e-10
"249",154,"tcp","netsc-prod","NETSC",,,,,4.11930417426905e-10
"250",154,"udp","netsc-prod","NETSC",,,,,4.1946173666444e-10
"251",155,"tcp","netsc-dev","NETSC",,,,,8.68230128622767e-10
"252",155,"udp","netsc-dev","NETSC",,,,,0
"253",156,"tcp","sqlsrv","SQL Service",,,,,4.09857667393271e-08
"254",156,"udp","sqlsrv","SQL Service",,,,,3.64286637032943e-10
"255",157,"tcp","knet-cmp","KNET/VM Command/Message Protocol",,,,,8.89432429519738e-10
"256",157,"udp","knet-cmp","KNET/VM Command/Message Protocol",,,,,5.28829589939935e-11
"257",158,"tcp","pcmail-srv","PCMail Server",,,,,6.36723924234196e-10
"258",158,"udp","pcmail-srv","PCMail Server",,,,,1.84189872657106e-11
"259",159,"tcp","nss-routing","NSS-Routing",,,,,5.61410731858848e-10
"260",159,"udp","nss-routing","NSS-Routing",,,,,3.89663908376814e-11
"261",160,"tcp","sgmp-traps","SGMP-TRAPS",,,,,5.19169854396152e-10
"262",160,"udp","sgmp-traps","SGMP-TRAPS",,,,,7.75234708472334e-11
"263",161,"tcp","snmp","SNMP",,,,,1.67534196438963e-07
"264",161,"udp","snmp","SNMP",,,,,3.68994440129668e-06
"265",162,"tcp","snmptrap","SNMPTRAP",,,,,1.25617493152145e-09
"266",162,"udp","snmptrap","SNMPTRAP",,,,,3.43625035739917e-07
"267",163,"tcp","cmip-man","CMIP/TCP Manager",,,,,5.69515086255761e-10
"268",163,"udp","cmip-man","CMIP/TCP Manager",,,,,1.12969788563021e-11
"269",164,"tcp","cmip-agent","CMIP/TCP Agent",,,,,5.19955731186155e-09
"270",164,"udp","cmip-agent","CMIP/TCP Agent",,,,,3.66742502001681e-11
"271",165,"tcp","xns-courier","Xerox",,,,,5.91208560146484e-10
"272",165,"udp","xns-courier","Xerox",,,,,1.86645737625858e-11
"273",166,"tcp","s-net","Sirius Systems",,,,,9.84965576804558e-10
"274",166,"udp","s-net","Sirius Systems",,,,,5.61247007527599e-10
"275",167,"tcp","namp","NAMP",,,,,5.83349792246447e-10
"276",167,"udp","namp","NAMP",,,,,6.14784863846598e-11
"277",168,"tcp","rsvd","RSVD",,2008-05-01,,,7.54932891397242e-10
"278",168,"udp","rsvd","RSVD",,2008-05-01,,,6.6193747124681e-10
"279",169,"tcp","send","SEND",,2013-06-17,,,8.68966888113393e-10
"280",169,"udp","send","SEND",,2013-06-17,,,2.16361703747875e-09
"281",170,"tcp","print-srv","Network PostScript",,,,,8.6233605269774e-10
"282",170,"udp","print-srv","Network PostScript",,,,,3.10421332051435e-10
"283",171,"tcp","multiplex","Network Innovations Multiplex",,,,,6.72333966281234e-10
"284",171,"udp","multiplex","Network Innovations Multiplex",,,,,3.88026665064296e-11
"285",172,"tcp","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1"".",,,,,6.45073865127983e-10
"286",172,"udp","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1"".",,,,,5.6877832676513e-10
"287",173,"tcp","xyplex-mux","Xyplex",,,,,6.03815333652794e-10
"288",173,"udp","xyplex-mux","Xyplex",,,,,0
"289",174,"tcp","mailq","MAILQ",,,,,6.83385358640662e-10
"290",174,"udp","mailq","MAILQ",,,,,6.08194959513751e-09
"291",175,"tcp","vmnet","VMNET",,,,,1.50907990600448e-08
"292",175,"udp","vmnet","VMNET",,,,,1.61268466282023e-11
"293",176,"tcp","genrad-mux","GENRAD-MUX",,,,,8.03231569116215e-10
"294",176,"udp","genrad-mux","GENRAD-MUX",,,,,1.20337383469299e-11
"295",177,"tcp","xdmcp","X Display Manager Control Protocol",,,,,6.75444728575e-10
"296",177,"udp","xdmcp","X Display Manager Control Protocol",,,,,1.18724698806487e-09
"297",178,"tcp","nextstep","NextStep Window Server",,,,,5.63539148165104e-10
"298",178,"udp","nextstep","NextStep Window Server",,,,,1.10120985199259e-09
"299",179,"tcp","bgp","Border Gateway Protocol",,,,,2.57571052433959e-06
"300",179,"udp","bgp","Border Gateway Protocol",,,,,8.35812711035118e-11
"301",180,"tcp","ris","Intergraph",,,,,7.07289111003273e-10
"302",180,"udp","ris","Intergraph",,,,,4.62521235783392e-10
"303",181,"tcp","unify","Unify",,2012-07-31,,,5.13766951464875e-10
"304",181,"udp","unify","Unify",,2012-07-31,,,8.27135321478827e-10
"305",182,"tcp","audit","Unisys Audit SITP",,,,,1.61387754192502e-05
"306",182,"udp","audit","Unisys Audit SITP",,,,,8.60371360722732e-11
"307",183,"tcp","ocbinder","OCBinder",,,,,6.06926095946557e-10
"308",183,"udp","ocbinder","OCBinder",,,,,6.71269758127929e-12
"309",184,"tcp","ocserver","OCServer",,,,,4.90518096427268e-10
"310",184,"udp","ocserver","OCServer",,,,,2.06292657375955e-10
